"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: metodoObjetivo","Param: rutaClases"
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,080567","0,082177","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1218,446350","1277,075162","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,853925","1,259277","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,087230","0,105353","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1323,791316","1622,480730","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,909007","0,783739","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
